epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,67.7189,0.49002,1.0833,4.46982,0.00479,9.24972,0.0203,0.92569,0.13754,0.12543,0.02034,0.92726,0.13764,0.12321,0.38517,0.36915,2.92339,0.00455,0,0.000193639,0.000193639,0.000193639
2,114.253,0.4506,0.52974,3.35417,0.00419,6.1454,0.46332,0.44696,0.49074,0.46955,0.46332,0.44696,0.49074,0.4619,0.31864,0.27007,1.66502,0.00344,0,0.000385781,0.000385781,0.000385781
3,161.34,0.47959,0.49514,2.36194,0.00445,4.09959,0.60696,0.72514,0.7424,0.70136,0.60696,0.72514,0.7424,0.69604,0.35792,0.24794,1.03631,0.00439,0,0.000574043,0.000574043,0.000574043
4,206.583,0.4818,0.46998,1.90758,0.00484,2.73144,0.73613,0.80065,0.86785,0.83099,0.73613,0.80065,0.86785,0.8209,0.32634,0.27493,0.69289,0.00424,0,0.000570536,0.000570536,0.000570536
5,253.591,0.44647,0.43589,1.5497,0.00426,2.0229,0.78274,0.8537,0.91917,0.88163,0.78274,0.8537,0.91917,0.87028,0.32001,0.21939,0.59633,0.00401,0,0.000564715,0.000564715,0.000564715
6,301.1,0.43535,0.42919,1.36736,0.00436,1.45296,0.79115,0.85088,0.92014,0.89495,0.79115,0.85088,0.92014,0.88139,0.27896,0.2196,0.52705,0.00355,0,0.000558894,0.000558894,0.000558894
7,348.951,0.42187,0.43521,1.19923,0.00437,1.0938,0.84543,0.83864,0.94159,0.9061,0.84543,0.83864,0.94159,0.88789,0.3149,0.23045,0.4709,0.00427,0,0.000553073,0.000553073,0.000553073
8,396.269,0.39533,0.41723,1.05362,0.00389,0.75182,0.87245,0.87736,0.95448,0.92303,0.87245,0.87736,0.95448,0.90838,0.2943,0.207,0.38641,0.00436,0,0.000547252,0.000547252,0.000547252
9,441.685,0.39341,0.38114,0.92236,0.00378,0.56407,0.8535,0.90231,0.955,0.91377,0.8535,0.90231,0.955,0.91645,0.3226,0.21436,0.3755,0.00416,0,0.00054143,0.00054143,0.00054143
10,489.369,0.37569,0.39445,0.83045,0.00373,0.47639,0.86402,0.89909,0.95759,0.93905,0.86402,0.89909,0.9576,0.91021,0.24353,0.20723,0.34721,0.00328,0,0.000535609,0.000535609,0.000535609
11,535.246,0.36576,0.37112,0.76009,0.00356,0.39759,0.9253,0.90594,0.97395,0.93217,0.9253,0.90594,0.97395,0.93059,0.32525,0.19695,0.31522,0.00567,0,0.000529788,0.000529788,0.000529788
12,583.894,0.37632,0.36561,0.68855,0.00368,0.3424,0.92388,0.92141,0.97464,0.95853,0.92388,0.92141,0.97464,0.94165,0.23139,0.19219,0.25078,0.00316,0,0.000523967,0.000523967,0.000523967
13,631.778,0.35269,0.36038,0.64194,0.0035,0.28581,0.90197,0.92976,0.97442,0.96065,0.90197,0.92976,0.97442,0.94055,0.2173,0.22539,0.27374,0.00304,0,0.000518146,0.000518146,0.000518146
14,685.72,0.3549,0.35658,0.59071,0.00342,0.25634,0.92989,0.92755,0.97412,0.96161,0.92989,0.92755,0.97412,0.94614,0.22447,0.19703,0.24126,0.00322,0,0.000512324,0.000512324,0.000512324
15,737.623,0.37086,0.36269,0.56779,0.00365,0.23847,0.91282,0.95484,0.97651,0.96457,0.91282,0.95484,0.97651,0.93931,0.20419,0.2122,0.21999,0.00294,0,0.000506503,0.000506503,0.000506503
16,790.289,0.357,0.3653,0.56075,0.00352,0.25657,0.92968,0.95272,0.98252,0.97095,0.92968,0.95272,0.98252,0.95054,0.20013,0.18619,0.20528,0.00279,0,0.000500682,0.000500682,0.000500682
17,847.186,0.34381,0.37564,0.51794,0.00339,0.22822,0.93038,0.93639,0.98085,0.96684,0.93038,0.93639,0.98085,0.94911,0.20754,0.19922,0.24246,0.00299,0,0.000494861,0.000494861,0.000494861
18,899.995,0.34242,0.35461,0.4723,0.00342,0.2046,0.94471,0.95525,0.98608,0.96844,0.94471,0.95525,0.98608,0.96292,0.26379,0.19779,0.2075,0.0035,0,0.00048904,0.00048904,0.00048904
19,948.089,0.32826,0.33208,0.44665,0.00317,0.19902,0.92919,0.95101,0.98393,0.96684,0.92919,0.95101,0.98393,0.94343,0.21665,0.196,0.18717,0.00305,0,0.000483218,0.000483218,0.000483218
20,993.043,0.32955,0.35445,0.4523,0.00326,0.19809,0.95266,0.95736,0.98209,0.9697,0.95266,0.95736,0.98209,0.94549,0.18091,0.20486,0.17915,0.00267,0,0.000477397,0.000477397,0.000477397
21,1036.24,0.31988,0.34735,0.43233,0.00326,0.21388,0.93985,0.95223,0.98667,0.97059,0.93985,0.95223,0.98667,0.952,0.26515,0.19094,0.19581,0.00327,0,0.000471576,0.000471576,0.000471576
22,1079.51,0.31906,0.33788,0.43063,0.00322,0.20731,0.94619,0.96605,0.98735,0.97292,0.94619,0.96605,0.98735,0.94136,0.21086,0.18777,0.16121,0.00316,0,0.000465755,0.000465755,0.000465755
23,1124.54,0.32307,0.33033,0.39248,0.0031,0.18171,0.976,0.96785,0.99082,0.97153,0.976,0.96785,0.99082,0.95862,0.18222,0.17603,0.12774,0.0035,0,0.000459934,0.000459934,0.000459934
24,1169.03,0.32265,0.35054,0.37954,0.00308,0.1773,0.9542,0.96994,0.99015,0.97885,0.9542,0.96994,0.99015,0.96488,0.20477,0.18077,0.14755,0.00283,0,0.000454112,0.000454112,0.000454112
