epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76471,1.19319,1.68802,1.96322,0.01216,0.94135,0.77244,0.46819,0.55752,0.39363,0.70551,0.41856,0.48247,0.32351,1.46151,2.44777,2.72206,0.01601,0,3.335e-05,3.335e-05,3.335e-05
2,7.60197,1.13898,1.56155,1.84459,0.01102,0.95277,0.77014,0.75432,0.81354,0.64002,0.77014,0.75432,0.81354,0.55806,1.02823,1.42456,1.0739,0.0111,0,7.19173e-05,7.19173e-05,7.19173e-05
3,11.5499,0.79773,0.99822,1.05998,0.00792,0.54989,0.82691,0.87809,0.89128,0.75227,0.78516,0.89921,0.88843,0.68774,0.78605,1.08115,0.67971,0.00832,0,0.0001089,0.0001089,0.0001089
4,14.8723,0.74655,1.00607,0.79777,0.00734,0.49415,0.84051,0.93122,0.91862,0.80792,0.82668,0.91622,0.90921,0.73351,0.67679,0.9072,0.55303,0.00728,0,0.000144297,0.000144297,0.000144297
5,18.4874,0.61583,0.92379,0.77878,0.00539,0.39414,0.84344,0.92233,0.92307,0.82913,0.82904,0.90751,0.91398,0.75405,0.59711,0.81289,0.51771,0.00626,0,0.00017811,0.00017811,0.00017811
6,21.8486,0.56943,0.76113,0.50166,0.00542,0.29957,0.86711,0.91406,0.91378,0.82651,0.86711,0.91406,0.91378,0.75836,0.55195,0.77621,0.56559,0.00544,0,0.000210338,0.000210338,0.000210338
7,25.0467,0.57857,0.83499,0.62569,0.00506,0.35497,0.87349,0.93065,0.91725,0.84193,0.87349,0.93065,0.91725,0.77242,0.5336,0.71639,0.50695,0.00535,0,0.000240982,0.000240982,0.000240982
8,28.2325,0.569,0.744,0.66654,0.00489,0.35929,0.88524,0.92703,0.92565,0.8552,0.88524,0.92703,0.92565,0.78176,0.49583,0.65063,0.46169,0.00487,0,0.00027004,0.00027004,0.00027004
9,31.5156,0.62402,0.68893,0.57928,0.00499,0.31044,0.89715,0.9139,0.93124,0.86056,0.89715,0.9139,0.93124,0.81127,0.46835,0.59918,0.42693,0.00443,0,0.000297514,0.000297514,0.000297514
10,34.6672,0.51878,0.62589,0.4206,0.00419,0.24386,0.87529,0.94744,0.92844,0.86898,0.87529,0.94744,0.92844,0.80565,0.43266,0.61764,0.46598,0.00399,0,0.000323403,0.000323403,0.000323403
11,37.8777,0.49867,0.82854,0.49334,0.00415,0.23668,0.89225,0.92972,0.93948,0.87223,0.89225,0.92972,0.93948,0.82403,0.46566,0.59249,0.45017,0.00432,0,0.000347707,0.000347707,0.000347707
12,40.8698,0.56007,0.79602,0.56868,0.00429,0.27738,0.86878,0.9466,0.94897,0.87723,0.86878,0.9466,0.94897,0.84421,0.47469,0.54191,0.44043,0.0045,0,0.000370426,0.000370426,0.000370426
13,44.0917,0.48766,0.58923,0.48391,0.00405,0.24451,0.89212,0.91652,0.94687,0.872,0.89212,0.91652,0.94687,0.85887,0.48096,0.52194,0.45382,0.00438,0,0.000391561,0.000391561,0.000391561
14,47.7917,0.6624,0.93469,0.62074,0.00657,0.29447,0.86725,0.96489,0.94811,0.86737,0.86725,0.96489,0.94811,0.84787,0.52698,0.53218,0.44968,0.00491,0,0.000411111,0.000411111,0.000411111
15,51.3023,0.44151,0.58774,0.41205,0.00347,0.19466,0.85296,0.94917,0.94403,0.86571,0.85296,0.94917,0.94403,0.84219,0.49692,0.54314,0.47313,0.00449,0,0.000429076,0.000429076,0.000429076
16,54.6749,0.50953,0.56388,0.46157,0.00403,0.20807,0.88807,0.90996,0.9393,0.87142,0.88807,0.90996,0.9393,0.83675,0.44064,0.54367,0.46624,0.00376,0,0.000445456,0.000445456,0.000445456
17,57.9555,0.46144,0.53513,0.40477,0.00373,0.21395,0.89606,0.92462,0.95193,0.89583,0.89606,0.92462,0.95193,0.85213,0.40729,0.53502,0.41838,0.00359,0,0.000455694,0.000455694,0.000455694
18,61.3746,0.49571,0.58999,0.4385,0.00409,0.18143,0.87906,0.93868,0.95186,0.89792,0.87906,0.93868,0.95186,0.85663,0.39972,0.5357,0.38126,0.00359,0,0.000442488,0.000442488,0.000442488
19,64.5826,0.48953,0.54332,0.45779,0.00378,0.24206,0.8929,0.92634,0.94863,0.87927,0.8929,0.92634,0.94863,0.85944,0.4378,0.5321,0.38114,0.00395,0,0.000429281,0.000429281,0.000429281
20,67.7697,0.49204,0.60377,0.49054,0.00383,0.21515,0.88775,0.94177,0.94826,0.90237,0.88775,0.94177,0.94826,0.85253,0.39349,0.53635,0.35945,0.00364,0,0.000416075,0.000416075,0.000416075
21,70.975,0.45269,0.61595,0.48074,0.00338,0.21036,0.89001,0.9466,0.95163,0.89474,0.89001,0.9466,0.95163,0.84513,0.41148,0.54487,0.37722,0.00388,0,0.000402868,0.000402868,0.000402868
22,74.4818,0.43914,0.57733,0.3633,0.00325,0.1964,0.88627,0.95589,0.95932,0.91366,0.88627,0.95589,0.95932,0.85631,0.38317,0.52705,0.34074,0.00353,0,0.000389661,0.000389661,0.000389661
23,77.6697,0.51076,0.6711,0.44857,0.00393,0.18477,0.87104,0.95182,0.95545,0.90196,0.87104,0.95182,0.95545,0.8733,0.38338,0.50095,0.37491,0.00341,0,0.000376455,0.000376455,0.000376455
24,81.0024,0.41993,0.54761,0.41473,0.00336,0.16899,0.8699,0.96214,0.95828,0.90643,0.8699,0.96214,0.95828,0.87765,0.38986,0.48317,0.37745,0.00354,0,0.000363248,0.000363248,0.000363248
25,84.0933,0.47801,0.51501,0.3959,0.00343,0.20062,0.84415,0.97,0.9531,0.90147,0.84415,0.97,0.9531,0.87891,0.38763,0.47863,0.3812,0.00345,0,0.000350042,0.000350042,0.000350042
26,87.3353,0.44867,0.53351,0.37887,0.0032,0.18068,0.86176,0.94918,0.95305,0.89025,0.86176,0.94918,0.95305,0.87715,0.44269,0.48404,0.39359,0.0039,0,0.000336835,0.000336835,0.000336835
27,90.514,0.46031,0.54635,0.39667,0.00348,0.20142,0.89798,0.91239,0.96382,0.91298,0.89798,0.91239,0.96382,0.88741,0.40386,0.47706,0.3732,0.00357,0,0.000323628,0.000323628,0.000323628
28,93.9689,0.47416,0.476,0.41026,0.00383,0.14218,0.93737,0.89772,0.96397,0.93493,0.93737,0.89772,0.96397,0.88971,0.35809,0.46451,0.36289,0.00317,0,0.000310422,0.000310422,0.000310422
29,97.2477,0.45525,0.52668,0.42821,0.00373,0.18477,0.93454,0.90106,0.96511,0.92266,0.93454,0.90106,0.96511,0.88625,0.37054,0.45876,0.36236,0.00333,0,0.000297215,0.000297215,0.000297215
